id,tenant_id,squad_id,member_id,squad_role,allocation_pct,valid_from,valid_to,status,metadata,created_at,created_by,updated_at,updated_by
f51fc2a3-7cf1-46dc-9c78-bdff29f430e7,c5d2f057-6262-4275-8ba9-16d9617ce128,3718a9d8-793c-47ef-9218-cdaa6146006a,af1664ca-d331-407e-8e77-1544db662c46,product_owner,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
a1afbe13-2abb-4b96-934e-b11969aa7248,c5d2f057-6262-4275-8ba9-16d9617ce128,3718a9d8-793c-47ef-9218-cdaa6146006a,0bd8e1b4-ed7c-4a0f-95c0-ce812675d818,lead,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
c8a29d94-7084-4b83-9769-45522f496b7e,c5d2f057-6262-4275-8ba9-16d9617ce128,3718a9d8-793c-47ef-9218-cdaa6146006a,ed45f30c-9cf2-4d07-a531-287dd50d9208,developer,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
f24b2583-9c3d-4837-80b1-a6a07798bcf9,c5d2f057-6262-4275-8ba9-16d9617ce128,3718a9d8-793c-47ef-9218-cdaa6146006a,07745d10-b787-405d-8a79-6163696996ff,qa,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
b3e7b6ec-2d6c-48a3-bba4-d677e13e6ba6,c5d2f057-6262-4275-8ba9-16d9617ce128,d7a7ce0d-6db0-4595-8619-0fc92f086fda,48135c3d-3e16-4e2e-88d8-c1c07bf44a2f,product_owner,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
d1f4c772-73f7-4a96-9e53-ca3b63b339cd,c5d2f057-6262-4275-8ba9-16d9617ce128,d7a7ce0d-6db0-4595-8619-0fc92f086fda,3ce4cf8c-214d-46c9-aced-ba5bc2a5e099,lead,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
a5974515-00a0-49a7-92cf-0522fb1fc327,c5d2f057-6262-4275-8ba9-16d9617ce128,d7a7ce0d-6db0-4595-8619-0fc92f086fda,f84c1f64-8202-4d7a-9075-d1ba8ffa07cc,developer,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
b068f5c9-d013-4b8a-844f-47128dc571de,c5d2f057-6262-4275-8ba9-16d9617ce128,d7a7ce0d-6db0-4595-8619-0fc92f086fda,ff253ee1-ba07-49de-9f6d-8843bf6d5253,qa,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
b20a1906-1cb7-482a-b173-b71eb1930188,c5d2f057-6262-4275-8ba9-16d9617ce128,483d9624-4016-4b0e-86e0-b5191733647c,3fd3c57a-8927-4dd5-b24e-e0bb71122796,product_owner,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
bc315eba-880f-43b3-a095-1b70adca7cec,c5d2f057-6262-4275-8ba9-16d9617ce128,483d9624-4016-4b0e-86e0-b5191733647c,500ccff9-6576-4fc9-8f36-6357bd701c1f,tech_lead,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
f87e15ae-9877-4056-887f-b79eca8d4325,c5d2f057-6262-4275-8ba9-16d9617ce128,483d9624-4016-4b0e-86e0-b5191733647c,e182e6ed-645a-4adf-ad3c-09e2e4812eac,analyst,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
35196d6d-3967-49f7-b7cd-e4d8f4246a4d,c5d2f057-6262-4275-8ba9-16d9617ce128,e172125e-9d20-4552-862a-9a4f0f4b6bca,09012e5b-0915-46d9-824c-650b038a89ac,lead,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
c3b37bea-3cb6-4138-a801-6528f7a60d58,c5d2f057-6262-4275-8ba9-16d9617ce128,e172125e-9d20-4552-862a-9a4f0f4b6bca,bf557ef5-b2b1-4884-a457-48c77adcca2a,developer,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
a775f8ef-8df0-4048-a0a2-9dbfbcbe2093,c5d2f057-6262-4275-8ba9-16d9617ce128,e172125e-9d20-4552-862a-9a4f0f4b6bca,5dbc3468-cfc0-4cb8-91ab-1e9056934b48,analyst,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
852c822c-5f3f-41c8-9763-a6a4b3756e0c,c5d2f057-6262-4275-8ba9-16d9617ce128,803e4997-4ea1-4e15-a20b-588daca9bb5f,56e28610-957d-4e82-961c-13f64db1f53b,tech_lead,100,2026-07-11,,active,{},2026-07-11T05:17:33.603567+00:00,,2026-07-11T05:17:33.603567+00:00,
ce5dcb64-ac5c-4f94-8347-7b4dfcac995f,c5d2f057-6262-4275-8ba9-16d9617ce128,483d9624-4016-4b0e-86e0-b5191733647c,ed45f30c-9cf2-4d07-a531-287dd50d9208,developer,100,2026-07-15,,active,{},2026-07-15T15:01:15.673888+00:00,bca6e351-fd9c-4d07-ae51-d70bcb39c8ca,2026-07-15T15:01:15.673888+00:00,
